,insId,name,urlName,instrument,isin,ticker,yahoo,sectorId,marketId,branchId,countryId,listingDate,country
0,2,AAK,aarhuskarlshamn,0,SE0011337708,AAK,AAK.ST,2.0,1,63.0,1,2005-09-29 00:00:00,Sverige
1,3,ABB,abb,0,CH0012221716,ABB,ABB.ST,5.0,1,23.0,1,1999-06-22 00:00:00,Sverige
2,6,Active Biotech,active-biotech,0,SE0001137985,ACTI,ACTI.ST,4.0,3,78.0,1,1997-11-25 00:00:00,Sverige
3,7,Addnode,addnode,0,SE0017885767,ANOD B,ANOD-B.ST,6.0,2,89.0,1,1999-06-10 00:00:00,Sverige
4,8,Addtech,addtech,0,SE0014781795,ADDT B,ADDT-B.ST,5.0,1,24.0,1,2001-09-03 00:00:00,Sverige
5,10,Alfa Laval,alfa-laval,0,SE0000695876,ALFA,ALFA.ST,5.0,1,24.0,1,2002-05-17 00:00:00,Sverige
6,13,Anoto,anoto,0,SE0010415281,ANOT,ANOT.ST,6.0,3,84.0,1,2000-03-15 00:00:00,Sverige
7,14,Arise Windpower,arise-windpower,0,SE0002095604,ARISE,ARISE.ST,10.0,3,12.0,1,2010-03-24 00:00:00,Sverige
8,17,Assa Abloy,assa-abloy,0,SE0007100581,ASSA B,ASSA-B.ST,5.0,1,31.0,1,1994-11-08 00:00:00,Sverige
9,18,AstraZeneca,astrazeneca,0,GB0009895292,AZN,AZN.ST,4.0,1,77.0,1,1999-04-06 00:00:00,Sverige
10,19,Atlas Copco A,atlas-copco,0,SE0017486889,ATCO A,ATCO-A.ST,5.0,1,23.0,1,1973-01-01 00:00:00,Sverige
11,20,Atrium Ljungberg,atrium-ljungberg,0,SE0000191827,ATRLJ B,ATRLJ-B.ST,1.0,1,75.0,1,1994-07-14 00:00:00,Sverige
12,21,Autoliv,autoliv,0,SE0000382335,ALIV SDB,ALIV-SDB.ST,8.0,1,48.0,1,1997-05-02 00:00:00,Sverige
13,22,Avanza Bank,avanza,0,SE0012454072,AZA,AZA.ST,1.0,1,69.0,1,1992-11-12 00:00:00,Sverige
14,24,Axfood,axfood,0,SE0006993770,AXFO,AXFO.ST,2.0,1,67.0,1,1997-06-27 00:00:00,Sverige
15,26,Bergman & Beving,bb-tools,0,SE0000101362,BERG B,BERG-B.ST,5.0,2,24.0,1,1987-01-01 00:00:00,Sverige
16,27,BE Group,be-group,0,SE0008321921,BEGR,BEGR.ST,5.0,3,24.0,1,2006-11-24 00:00:00,Sverige
17,28,Beijer Ref,beijer,0,SE0015949748,BEIJ B,BEIJ-B.ST,5.0,1,30.0,1,1985-12-03 00:00:00,Sverige
18,29,Beijer Alma,beijer-alma,0,SE0011090547,BEIA B,BEIA-B.ST,5.0,2,24.0,1,1990-01-01 00:00:00,Sverige
19,30,Beijer Electronics,beijer-electronics,0,SE0000671711,BELE,BELE.ST,6.0,2,83.0,1,2000-06-08 00:00:00,Sverige
20,31,Bergs Timber,bergs-timber,0,SE0018012932,BRG B,BRG-B.ST,7.0,3,21.0,1,1984-09-01 00:00:00,Sverige
21,32,Betsson,betsson,0,SE0018535684,BETS B,BETS-B.ST,8.0,2,54.0,1,1996-03-26 00:00:00,Sverige
22,33,Bilia,bilia,0,SE0009921588,BILI A,BILI-A.ST,8.0,1,48.0,1,1997-09-15 00:00:00,Sverige
23,34,Billerud,billerudkorsnas,0,SE0000862997,BILL,BILL.ST,7.0,1,21.0,1,2001-11-20 00:00:00,Sverige
24,35,BioGaia,biogaia,0,SE0017769995,BIOG B,BIOG-B.ST,2.0,2,65.0,1,1998-05-28 00:00:00,Sverige
25,36,Bioinvent,bioinvent,0,SE0015244520,BINV,BINV.ST,4.0,2,78.0,1,2001-06-12 00:00:00,Sverige
26,37,Biotage,biotage,0,SE0000454746,BIOT,BIOT.ST,4.0,1,79.0,1,2000-06-30 00:00:00,Sverige
27,38,Björn Borg,bjorn-borg,0,SE0017766520,BORG,BORG.ST,8.0,3,43.0,1,2004-12-20 00:00:00,Sverige
28,40,Boliden,boliden,0,SE0017768716,BOL,BOL.ST,7.0,1,17.0,1,2001-12-05 00:00:00,Sverige
29,41,Bong Ljungdahl,bong-ljungdahl,0,SE0000396061,BONG,BONG.ST,7.0,3,22.0,1,1988-01-18 00:00:00,Sverige
30,42,Brinova Fastigheter,brinova,0,SE0008347652,BRIN B,BRIN-B.ST,1.0,2,75.0,1,2003-11-20 00:00:00,Sverige
31,43,BTS Group,bts-group,0,SE0000805426,BTS B,BTS-B.ST,5.0,2,34.0,1,2001-06-06 00:00:00,Sverige
32,44,Bure Equity,bure-equity,0,SE0000195810,BURE,BURE.ST,1.0,1,73.0,1,1993-10-01 00:00:00,Sverige
33,45,Byggmax,byggmax,0,SE0003303627,BMAX,BMAX.ST,8.0,2,50.0,1,2010-06-02 00:00:00,Sverige
34,46,Castellum,castellum,0,SE0000379190,CAST,CAST.ST,1.0,1,75.0,1,1997-05-23 00:00:00,Sverige
35,47,Catena,catena,0,SE0001664707,CATE,CATE.ST,1.0,1,75.0,1,2006-04-26 00:00:00,Sverige
36,48,Nelly Group,qliro,0,SE0015245535,NELLY,NELLY.ST,8.0,3,43.0,1,2010-12-15 00:00:00,Sverige
37,49,CellaVision,cellavision,0,SE0000683484,CEVI,CEVI.ST,4.0,2,79.0,1,2007-05-28 00:00:00,Sverige
38,51,Clas Ohlson,clas-ohlson,0,SE0000584948,CLAS B,CLAS-B.ST,8.0,2,50.0,1,1999-10-05 00:00:00,Sverige
39,52,Cloetta,cloetta,0,SE0002626861,CLA B,CLA-B.ST,2.0,2,63.0,1,2008-12-08 00:00:00,Sverige
40,54,Concordia Maritime,concordia-maritime,0,SE0000102824,CCOR B,CCOR-B.ST,3.0,3,3.0,1,1984-01-01 00:00:00,Sverige
41,56,Concejo B,consilium,0,SE0000236382,CNCJO B,CNCJO-B.ST,6.0,3,88.0,1,1994-05-11 00:00:00,Sverige
42,57,Corem Property A,corem,0,SE0010714279,CORE A,CORE-A.ST,1.0,1,75.0,1,1997-06-24 00:00:00,Sverige
43,58,CTT Systems,ctt-systems,0,SE0000418923,CTT,CTT.ST,5.0,2,30.0,1,1997-11-11 00:00:00,Sverige
44,62,Diamyd Medical,diamyd-medical,0,SE0005162880,DMYD B,DMYD-B.ST,4.0,4,78.0,1,2013-05-20 00:00:00,Sverige
45,63,Diös Fastigheter,dios,0,SE0001634262,DIOS,DIOS.ST,1.0,2,75.0,1,2006-05-22 00:00:00,Sverige
46,64,Doro,doro,0,SE0000215493,DORO,DORO.ST,8.0,3,45.0,1,1993-11-20 00:00:00,Sverige
47,65,Duni,duni,0,SE0000616716,DUNI,DUNI.ST,2.0,2,64.0,1,2007-11-14 00:00:00,Sverige
48,66,Duroc,duroc,0,SE0000331266,DURC B,DURC-B.ST,5.0,3,24.0,1,1996-10-23 00:00:00,Sverige
49,67,Eastnine,east-capital-explorer,0,SE0002158568,EAST,EAST.ST,1.0,2,75.0,1,2007-11-09 00:00:00,Sverige
50,68,Elanders,elanders,0,SE0000119299,ELAN B,ELAN-B.ST,8.0,2,57.0,1,1989-01-01 00:00:00,Sverige
51,69,Elon,electra-gruppen,0,SE0001572520,ELON,ELON.ST,8.0,3,45.0,1,2006-05-04 00:00:00,Sverige
52,70,Electrolux B,electrolux,0,SE0016589188,ELUX B,ELUX-B.ST,8.0,1,45.0,1,1985-01-01 00:00:00,Sverige
53,71,Elekta,elekta,0,SE0000163628,EKTA B,EKTA-B.ST,4.0,1,79.0,1,1994-03-01 00:00:00,Sverige
54,72,Elos Medtech,elos,0,SE0000120776,ELOS B,ELOS-B.ST,4.0,2,79.0,1,1989-06-13 00:00:00,Sverige
55,73,Enea,enea,0,SE0009697220,ENEA,ENEA.ST,6.0,2,89.0,1,1989-12-19 00:00:00,Sverige
56,74,Eniro,eniro,0,SE0011256312,ENRO,ENRO.ST,8.0,3,56.0,1,2000-10-10 00:00:00,Sverige
57,75,EnQuest,enquest,0,GB00B635TG28,ENQ,ENQ.ST,3.0,2,2.0,1,2010-04-06 00:00:00,Sverige
58,77,Ericsson B,ericsson,0,SE0000108656,ERIC B,ERIC-B.ST,6.0,1,86.0,1,1976-01-01 00:00:00,Sverige
59,79,eWork,ework,0,SE0002402701,EWRK,EWRK.ST,6.0,3,89.0,1,2008-05-22 00:00:00,Sverige
60,80,Fabege,fabege,0,SE0011166974,FABG,FABG.ST,1.0,1,75.0,1,1998-09-24 00:00:00,Sverige
61,81,Fagerhult,fagerhult,0,SE0010048884,FAG,FAG.ST,5.0,2,32.0,1,1997-05-13 00:00:00,Sverige
62,82,Fastpartner A,fast-partner,0,SE0013512506,FPAR A,FPAR-A.ST,1.0,1,75.0,1,1994-02-14 00:00:00,Sverige
63,83,Fast Balder,balder,0,SE0017832488,BALD B,BALD-B.ST,1.0,1,75.0,1,1999-10-12 00:00:00,Sverige
64,85,Fenix Outdoor,fenix-outdoor,0,CH0242214887,FOI B,FOI-B.ST,8.0,1,43.0,1,1983-01-01 00:00:00,Sverige
65,86,Fingerprint Cards,fingerprint,0,SE0008374250,FING B,FING-B.ST,6.0,2,85.0,1,1998-05-08 00:00:00,Sverige
66,87,Formpipe Software,formpipe,0,SE0001338039,FPIP,FPIP.ST,6.0,3,90.0,1,2005-01-19 00:00:00,Sverige
67,88,Getinge,getinge,0,SE0000202624,GETI B,GETI-B.ST,4.0,1,80.0,1,1995-06-08 00:00:00,Sverige
68,94,Havsfrun Investment,havsfrun,0,SE0000312043,HAV B,HAV-B.ST,1.0,3,73.0,1,1998-06-12 00:00:00,Sverige
69,95,Heba,heba,0,SE0017911480,HEBA B,HEBA-B.ST,1.0,2,75.0,1,1994-06-13 00:00:00,Sverige
70,97,Hennes & Mauritz,hm,0,SE0000106270,HM B,HM-B.ST,8.0,1,43.0,1,1974-06-17 00:00:00,Sverige
71,98,Hexagon,hexagon,0,SE0015961909,HEXA B,HEXA-B.ST,5.0,1,38.0,1,1993-01-01 00:00:00,Sverige
72,99,Hexpol,hexpol,0,SE0007074281,HPOL B,HPOL-B.ST,7.0,1,15.0,1,2008-06-09 00:00:00,Sverige
73,101,HMS Networks,hms-networks,0,SE0009997018,HMS,HMS.ST,6.0,1,86.0,1,2007-10-19 00:00:00,Sverige
74,102,Holmen B,holmen,0,SE0011090018,HOLM B,HOLM-B.ST,7.0,1,21.0,1,1993-01-01 00:00:00,Sverige
75,103,Hufvudstaden A,hufvudstaden,0,SE0000170375,HUFV A,HUFV-A.ST,1.0,1,75.0,1,1985-01-01 00:00:00,Sverige
76,104,Husqvarna B,husqvarna,0,SE0001662230,HUSQ B,HUSQ-B.ST,8.0,1,45.0,1,2006-06-13 00:00:00,Sverige
77,106,I.A.R Systems,iar-systems,0,SE0005851706,IAR B,IAR-B.ST,6.0,2,90.0,1,1999-01-04 00:00:00,Sverige
78,108,Image Systems,image-systems,0,SE0006421871,IS,IS.ST,6.0,3,90.0,1,1999-04-28 00:00:00,Sverige
79,109,Industrivärden C,industrivarden,0,SE0000107203,INDU C,INDU-C.ST,1.0,1,73.0,1,1981-01-01 00:00:00,Sverige
80,110,Indutrade,indutrade,0,SE0001515552,INDT,INDT.ST,5.0,1,24.0,1,2005-10-05 00:00:00,Sverige
81,111,Rolling Optics,intellecta,0,SE0010520155,RO,RO.ST,5.0,4,34.0,1,1990-05-08 00:00:00,Sverige
82,112,Intrum,intrum-justitia,0,SE0000936478,INTRUM,INTRUM.ST,1.0,1,70.0,1,2002-06-07 00:00:00,Sverige
83,113,Investor B,investor,0,SE0015811963,INVE B,INVE-B.ST,1.0,1,73.0,1,1990-01-01 00:00:00,Sverige
84,114,ITAB Shop Concept,itab,0,SE0015962097,ITAB,ITAB.ST,5.0,2,32.0,1,2004-04-03 00:00:00,Sverige
85,116,JM,jm,0,SE0000806994,JM,JM.ST,5.0,1,29.0,1,1981-11-25 00:00:00,Sverige
86,117,Kabe,kabe,0,SE0000107724,KABE B,KABE-B.ST,8.0,3,48.0,1,1983-12-01 00:00:00,Sverige
87,119,Karo Pharma,karo-bio,0,SE0007464888,KARO,KARO.ST,4.0,4,78.0,1,1998-04-03 00:00:00,Sverige
88,120,Kinnevik B,kinnevik,0,SE0015810247,KINV B,KINV-B.ST,1.0,1,73.0,1,1997-09-22 00:00:00,Sverige
